city_or_municipality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,total
"ADAMS, (ILOCOS NORTE)", - , - , - , - , - , - , - , 2 , 1 , - , 2 , 5 
"BACARRA, (ILOCOS NORTE)", 31 , 23 , 4 , 20 , 32 , 36 , 31 , 38 , 18 , 31 , 23 , 287 
"BADOC, (ILOCOS NORTE)", 11 , 17 , 1 , 10 , 18 , 15 , 10 , 12 , 9 , 9 , 10 , 122 
"BANGUI, (ILOCOS NORTE)", 8 , 6 , - , 6 , 6 , 12 , 4 , 16 , 3 , 10 , 10 , 81 
"BATAC, (ILOCOS NORTE)", 19 , 15 , 2 , 25 , 22 , 16 , 11 , 21 , 11 , 15 , 15 , 172 
"BURGOS, (ILOCOS NORTE)", 3 , 8 , - , 6 , 3 , 6 , 2 , 7 , 2 , 5 , 6 , 48 
"CARASI, (ILOCOS NORTE)", - , - , - , - , 2 , - , 1 , - , - , - , - , 3 
"CURRIMAO, (ILOCOS NORTE)", 2 , 1 , - , 1 , 1 , 4 , - , 5 , 6 , 3 , 1 , 24 
"DINGRAS, (ILOCOS NORTE)", 13 , 19 , 3 , 4 , 21 , 18 , 17 , 18 , 10 , 20 , 20 , 163 
"DUMALNEG, (ILOCOS NORTE)", - , 1 , - , - , - , - , - , - , - , - , - , 1 
"BANNA (ESPIRITU), (ILOCOS NORTE)", 5 , 3 , 1 , 4 , 5 , 5 , 5 , 11 , 3 , 7 , 3 , 52 
"LAOAG CITY (CAPITAL), (ILOCOS NORTE)", 55 , 80 , 13 , 63 , 89 , 63 , 68 , 67 , 50 , 72 , 69 , 689 
"MARCOS, (ILOCOS NORTE)", 6 , 9 , 1 , 7 , 7 , 11 , 9 , 9 , 5 , 11 , 12 , 87 
"NUEVA ERA, (ILOCOS NORTE)", 1 , 1 , 1 , - , - , 2 , 2 , 2 , 2 , 1 , 2 , 14 
"PAGUDPUD, (ILOCOS NORTE)", 4 , 5 , 1 , 2 , 2 , 4 , 4 , 4 , 8 , 4 , 5 , 43 
"PAOAY, (ILOCOS NORTE)", 5 , 6 , 3 , 12 , 7 , 7 , 8 , 4 , 4 , 8 , 8 , 72 
"PASUQUIN, (ILOCOS NORTE)", 8 , 4 , 3 , 10 , 17 , 13 , 13 , 14 , 11 , 13 , 18 , 124 
"PIDDIG, (ILOCOS NORTE)", 4 , 6 , - , 8 , 6 , 7 , 9 , 5 , 3 , 6 , 6 , 60 
"PINILI, (ILOCOS NORTE)", 3 , 4 , - , 2 , 6 , 4 , 2 , 3 , 7 , 4 , 7 , 42 
"SAN NICOLAS, (ILOCOS NORTE)", 15 , 27 , 3 , 20 , 27 , 21 , 22 , 22 , 20 , 30 , 16 , 223 
"SARRAT, (ILOCOS NORTE)", 15 , 12 , 1 , 18 , 18 , 23 , 17 , 19 , 10 , 17 , 24 , 174 
"SOLSONA, (ILOCOS NORTE)", 5 , 8 , 3 , 6 , 11 , 12 , 8 , 14 , 13 , 9 , 8 , 97 
"VINTAR, (ILOCOS NORTE)", 20 , 22 , 2 , 20 , 11 , 30 , 13 , 22 , 20 , 20 , 16 , 196 
"ALILEM, (ILOCOS SUR)", 1 , 1 , - , - , - , 1 , - , 1 , - , 1 , 2 , 7 
"BANAYOYO, (ILOCOS SUR)", - , 1 , 1 , 1 , 3 , 1 , - , - , - , 4 , 1 , 12 
"BANTAY, (ILOCOS SUR)", 5 , 6 , 2 , 12 , 4 , 12 , 2 , 5 , 6 , 7 , 5 , 66 
"BURGOS, (ILOCOS SUR)", 1 , 2 , - , 2 , 3 , 2 , 2 , 3 , 4 , 4 , 2 , 25 
"CABUGAO, (ILOCOS SUR)", 12 , 4 , 1 , 4 , 7 , 8 , 7 , 1 , 8 , 10 , 8 , 70 
"CANDON, (ILOCOS SUR)", 10 , 13 , 1 , 13 , 9 , 13 , 13 , 15 , 7 , 10 , 14 , 118 
"CAOAYAN, (ILOCOS SUR)", 6 , 5 , 4 , 10 , 8 , 6 , 3 , 3 , 3 , 6 , 10 , 64 
"CERVANTES, (ILOCOS SUR)", 1 , - , - , 1 , - , - , - , - , - , 1 , -   , 3 
"GALIMUYOD, (ILOCOS SUR)", - , 1 , - , 2 , 3 , - , - , 1 , 4 , 1 , 1 , 13 
"GREGORIO DEL PILAR (CONCEPCION), (ILOCOS SUR)", - , - , - , 1 , 1 , - , 1 , - , - , 1 , -   , 4 
"LIDLIDDA, (ILOCOS SUR)", - , 1 , - , 2 , - , - , - , - , 1 , 1 , 1 , 6 
"MAGSINGAL, (ILOCOS SUR)", 8 , 10 , - , 9 , 9 , 7 , 12 , 10 , 5 , 8 , 17 , 95 
"NAGBUKEL, (ILOCOS SUR)", 2 , - , 1 , 1 , 1 , - , 1 , - , 2 , 3 , 5 , 16 
"NARVACAN, (ILOCOS SUR)", 18 , 10 , 2 , 15 , 17 , 14 , 10 , 15 , 16 , 20 , 8 , 145 
"QUIRINO (ANGKAKI), (ILOCOS SUR)", 1 , - , - , - , - , 1 , - , - , 1 , 1 , -   , 4 
"SALCEDO (BAUGEN), (ILOCOS SUR)", - , 1 , - , - , - , 2 , 1 , - , 1 , 1 , 1 , 7 
"SAN EMILIO, (ILOCOS SUR)", - , 1 , - , - , - , - , - , - , - , 1 , -   , 2 
"SAN ESTEBAN, (ILOCOS SUR)", - , 5 , - , 4 , 3 , 1 , 3 , 4 , 4 , 2 , 2 , 28 
"SAN ILDEFONSO, (ILOCOS SUR)", 3 , 2 , - , - , 1 , 2 , 2 , 1 , 1 , - , 3 , 15 
"SAN JUAN (LAPOG), (ILOCOS SUR)", 6 , 14 , - , 9 , 7 , 7 , 3 , 4 , 9 , 7 , 4 , 70 
"SAN VICENTE, (ILOCOS SUR)", 1 , 2 , - , 7 , 4 , 4 , 2 , 4 , 4 , 1 , 4 , 33 
"SANTA, (ILOCOS SUR)", 4 , 2 , 1 , 1 , 5 , 3 , 2 , 5 , 3 , 3 , 4 , 33 
"SANTA CATALINA, (ILOCOS SUR)", 6 , 4 , - , 2 , 3 , 4 , 2 , 5 , 1 , 1 , 2 , 30 
"SANTA CRUZ, (ILOCOS SUR)", 8 , 8 , 4 , 5 , 5 , 11 , 10 , 5 , 7 , 6 , 5 , 74 
"SANTA LUCIA, (ILOCOS SUR)", 7 , 4 , - , 3 , 5 , 6 , 4 , 2 , 3 , 5 , 2 , 41 
"SANTA MARIA, (ILOCOS SUR)", 11 , 11 , 1 , 13 , 14 , 8 , 10 , 5 , 8 , 8 , 10 , 99 
"SANTIAGO, (ILOCOS SUR)", 6 , 8 , 1 , 5 , 7 , 8 , 3 , 5 , 6 , 7 , 8 , 64 
"SANTO DOMINGO, (ILOCOS SUR)", 5 , 6 , 3 , 10 , 10 , 10 , 2 , 6 , 7 , 11 , 7 , 77 
"SIGAY, (ILOCOS SUR)", - , - , - , - , - , 1 , - , - , - , 1 , -   , 2 
"SINAIT, (ILOCOS SUR)", 16 , 4 , 3 , 9 , 13 , 8 , 7 , 10 , 14 , 15 , 8 , 107 
